ccode,ISO3,country,incidence,onset,pt8,max_pt8,gpcp,gpcp_g,gpcp_d,range,gdp,gdp_g,agri_g,gdp_g20,gdp_g21,agri_g20,agri_g21
24,AGO,Angola,25,3,0.1,2,1031.892,0.0064915,0.0091782,4.105124,3304.48,0.0258704,0.0273237,-0.0094738,0.0708539,-0.0350525,0.1067115
72,BWA,Botswana,0,0,29.5,44,434.0237,0.0721607,0.0165381,4.042049,8196.49,0.0446543,-0.0158247,0.0537133,0.0290069,-0.0179819,-0.0120987
108,BDI,Burundi,16,3,4.8,18,1238.283,0.0096317,0.0091528,4.141418,411.993,-0.004519,-0.0183917,-0.0079194,0.0013544,-0.0091923,-0.0475232
120,CMR,Cameroon,1,1,8.23333,24,1587.451,0.0039776,-0.0614719,3.772484,2076.38,0.0018047,0.0104729,-0.0033731,0.0107482,0.0091484,0.0136186
132,CPV,Cape Verde,0,0,20.5,35,217.9921,0.1065524,0.0137213,4.028037,2064.57,0.0407185,0.0049998,0.0371813,0.0465067,0.0020271,0.0088642
140,CAF,Central African Republic,5,3,22,41,1355.467,0.0041746,-0.0405925,4.25804,776.809,-0.0090709,-0.0017077,-0.0106452,-0.0063516,-0.0024297,0.0002521
148,TCD,Chad,24,4,0.133333,2,335.9353,0.0233941,-0.0363882,3.72775,910.964,0.0251671,0.009795,0.0130598,0.0460796,0.0180825,-0.0216975
174,COM,Comoros,2,2,6.53333,14,1035.988,-0.0036343,-0.1721997,3.12396,1124.32,-0.0063569,0.0034488,-0.0060579,-0.0068734,0.0041473,0.0021215
178,COG,Congo,6,3,12.8333,33,1636.758,0.0029105,-0.0324266,4.906026,459.3,-0.0284745,-0.0498654,-0.0498654,0.0084733,,
180,COD,Congo DR,6,1,15.5667,36,1635.966,0.0007656,-0.0033743,3.924019,3482.64,0.0101002,-0.0142721,0.0025721,0.0231032,-0.0076883,-0.0267813
204,BEN,Benin,0,0,35.5,50,1123.555,0.009966,-0.0336287,4.717564,1249.06,0.0079885,0.018772,0.0066053,0.0103777,0.0195493,0.0163106
