"conflict_name","N","alpha","xmin","p","tail"
"ADF - Civilians",175,3.05273137620252,10.789,0.585,45.352
"AFDL - Civilians",165,2.75135851481819,381.081,0.847,30.255
"Afghanistan:Government",1550,2.25264921711843,22.408,0,344.683
"Afghanistan:Government (ISAF)",14410,3.16634867712561,18.832,0.021,593.466
"Afghanistan: Islamic State",208,2.82379575114902,11.17,0.074,64.973
"AFRC - Civilians",154,2.0971812087252,7.653,0.022,57.248
"Ahlu Sunna Waljamaca - Al-Shabaab",45,2.80005289955394,11.878,0.861,19.361
"Alawite (Lebanon) - Sunni (Lebanon)",34,2.40188708146253,2.204,0.479,22.127
"al-Gama'a al-Islamiyya - Civilians",79,2.27045179721092,1.058,0.401,76.253
"Algeria:Government",3241,2.79368283688171,10.628,0.055,351.229
"ALiR - Civilians",92,2.16919438633152,14.07,0.089,46.905
"Al-Shabaab - Civilians",287,1.99860770930454,1.058,0.415,278.121
"Amal - Hezbollah",51,3.20030656502469,9.511,0.667,22.662
"AMB - Civilians",71,2.61422948648766,1.826,0.134,43.562
"ANC - Civilians",49,2.48854496569346,1.083,0.499,46.832
"Angola:Cabinda",39,2.05817860835529,2.394,0.536,28.02
"Angola:Government",527,2.19580367799746,25.253,0.804,127.127
"Ansaar ul-Islam - Lashkar-e-Islam",32,3.34824425263808,6.003,0.561,15.909
"Ansar al-Islam - Civilians",31,2.65226265204504,2.881,0.553,19.889
"Ansarallah - AQAP",31,3.12818320441366,13.576,0.722,16.14
"anti-Balaka - Civilians",142,1.57393761728433,1.19,0.015,135.102
"anti-Balaka - FPRC",52,2.08811844169179,3.687,0.427,30.7
"AQAP - Forces of Hadi",43,2.34317671459445,5.509,0.301,24.739
"ARPCT - ARS/UIC",33,2.64914248182049,11.394,0.332,19.742
"ASG - Civilians",77,2.43244903360808,2.868,0.639,40.534
"ATTF - Civilians",54,2.32015642096384,3.338,0.132,28.801
"AUC - Civilians",461,2.72010512478986,4.412,0.005,334.343
"AUC - FARC",75,2.52785571012751,12.03,0.297,33.403
"Azerbaijan:Nagorno-Karabakh",522,1.6055490257853,1.17,0,495.1
"Bangesh - Turi",37,3.09250820631921,15.811,0.508,17.912
"Bangladesh:Chittagong Hill Tracts",51,3.81879706090636,3.085,0.795,21.012
